[2025-01-06 18:03:30 : INFO] - Cache for URL: https://192.168.68.107/?p=6641 has been purged, triggered by action: save_post 
[2025-01-26 13:05:41 : INFO] - Cache for URL: http://192.168.68.109/?page_id=6677 has been purged, triggered by action: wp_trash_post 
[2025-01-26 13:05:41 : INFO] - Cache for URL: http://192.168.68.109/?page_id=6677 has been purged, triggered by action: save_post 
[2025-01-26 13:05:41 : INFO] - Cache for URL: http://192.168.68.109/updates/ has been purged, triggered by action: wp_trash_post 
[2025-01-26 13:05:41 : INFO] - Cache for URL: http://192.168.68.109/?page_id=5335 has been purged, triggered by action: save_post 
[2025-01-26 13:09:46 : INFO] - Cache for URL: http://192.168.68.109/?elementor_library=default-kit-2 has been purged, triggered by action: save_post 
[2025-01-26 13:09:46 : INFO] - Cache for URL: http://192.168.68.109/?elementor_library=default-kit-2 has been purged, triggered by action: save_post 
[2025-01-26 13:09:46 : INFO] - Cache for URL: http://192.168.68.109/?elementor_library=default-kit-2 has been purged, triggered by action: save_post 
[2025-01-26 13:10:58 : INFO] - Cache for URL: http://192.168.68.109/?elementor_library=default-kit-2 has been purged, triggered by action: save_post 
[2025-01-26 13:10:58 : INFO] - Cache for URL: http://192.168.68.109/?elementor_library=default-kit-2 has been purged, triggered by action: save_post 
[2025-01-26 13:10:58 : INFO] - Cache for URL: http://192.168.68.109/?elementor_library=default-kit-2 has been purged, triggered by action: save_post 
[2025-01-26 13:11:18 : INFO] - Cache for URL: http://192.168.68.109/?elementor_library=default-kit-2 has been purged, triggered by action: save_post 
[2025-01-26 13:11:18 : INFO] - Cache for URL: http://192.168.68.109/?elementor_library=default-kit-2 has been purged, triggered by action: save_post 
[2025-01-26 13:11:18 : INFO] - Cache for URL: http://192.168.68.109/?elementor_library=default-kit-2 has been purged, triggered by action: save_post 
[2025-01-26 13:42:53 : INFO] - Cache for URL: http://192.168.68.109/?page_id=6686 has been purged, triggered by action: save_post 
[2025-01-26 13:43:40 : INFO] - Cache for URL: http://192.168.68.109/?page_id=6686 has been purged, triggered by action: save_post 
[2025-01-26 13:43:41 : INFO] - Cache for URL: http://192.168.68.109/?page_id=6686 has been purged, triggered by action: save_post 
[2025-01-26 13:44:28 : INFO] - Cache for URL: http://192.168.68.109/?page_id=6688 has been purged, triggered by action: save_post 
[2025-01-26 13:44:55 : INFO] - Cache for URL: http://192.168.68.109/?page_id=6688 has been purged, triggered by action: save_post 
[2025-01-26 13:44:56 : INFO] - Cache for URL: http://192.168.68.109/?page_id=6688 has been purged, triggered by action: save_post 
[2025-01-26 13:46:12 : INFO] - Cache for URL: http://192.168.68.109/blog/business-improvement/ has been purged, triggered by action: save_post 
[2025-01-26 13:46:28 : INFO] - Cache for URL: http://192.168.68.109/blog/geospatial/ has been purged, triggered by action: save_post 
[2025-01-26 13:53:40 : INFO] - Cache for term page with URL: http://192.168.68.109/category/uncategorized/  have been purged, triggered by action: edit_terms 
[2025-01-26 13:55:23 : INFO] - Cache for URL: http://192.168.68.109/insights/ has been purged, triggered by action: save_post 
[2025-01-26 13:56:47 : INFO] - Cache for URL: http://192.168.68.109/insights/business-improvement/ has been purged, triggered by action: wp_trash_post 
[2025-01-26 13:56:47 : INFO] - Cache for URL: http://192.168.68.109/?page_id=6686 has been purged, triggered by action: save_post 
[2025-01-26 13:56:47 : INFO] - Cache for URL: http://192.168.68.109/insights/geospatial/ has been purged, triggered by action: wp_trash_post 
[2025-01-26 13:56:47 : INFO] - Cache for URL: http://192.168.68.109/?page_id=6688 has been purged, triggered by action: save_post 
[2025-01-26 14:05:59 : INFO] - Cache for URL: http://192.168.68.109/insights/ has been purged, triggered by action: save_post 
[2025-01-26 14:06:00 : INFO] - Cache for URL: http://192.168.68.109/insights/ has been purged, triggered by action: save_post 
[2025-01-26 14:07:58 : INFO] - Cache for URL: http://192.168.68.109/insights/ has been purged, triggered by action: save_post 
[2025-01-26 14:07:58 : INFO] - Cache for URL: http://192.168.68.109/insights/ has been purged, triggered by action: save_post 
[2025-01-26 14:08:42 : INFO] - Cache for URL: http://192.168.68.109/?p=6693 has been purged, triggered by action: save_post 
[2025-01-26 14:08:42 : INFO] - Cache for blog post has been purged due to updates to post with Title: "Auto Draft" and URL: http://192.168.68.109/?p=6693, triggered by action: save_post 
[2025-01-26 14:08:42 : INFO] - Cache for previous post (with URL: http://192.168.68.109/focus-on-improvement/) adjacent to post with id: 6693 has been purged, triggered by action: save_post 
[2025-01-26 14:08:42 : INFO] - Cache for all archives page associated with post_type: post and Title: "Auto Draft" have been purged, triggered by action: save_post 
[2025-01-26 14:09:09 : INFO] - Cache for URL: http://192.168.68.109/?p=6694 has been purged, triggered by action: save_post 
[2025-01-26 14:09:09 : INFO] - Cache for blog post has been purged due to updates to post with Title: "Auto Draft" and URL: http://192.168.68.109/?p=6694, triggered by action: save_post 
[2025-01-26 14:09:09 : INFO] - Cache for previous post (with URL: http://192.168.68.109/focus-on-improvement/) adjacent to post with id: 6694 has been purged, triggered by action: save_post 
[2025-01-26 14:09:09 : INFO] - Cache for all archives page associated with post_type: post and Title: "Auto Draft" have been purged, triggered by action: save_post 
[2025-01-26 14:09:53 : INFO] - Cache for multiple term taxonomy have been purged due to post terms update, triggered by action: set_object_terms 
[2025-01-26 14:09:53 : INFO] - Cache for URL: http://192.168.68.109/?p=6694 has been purged, triggered by action: save_post 
[2025-01-26 14:09:53 : INFO] - Cache for blog post has been purged due to updates to post with Title: "This is Geospatial" and URL: http://192.168.68.109/?p=6694, triggered by action: save_post 
[2025-01-26 14:09:53 : INFO] - Cache for previous post (with URL: http://192.168.68.109/focus-on-improvement/) adjacent to post with id: 6694 has been purged, triggered by action: save_post 
[2025-01-26 14:09:53 : INFO] - Cache for all archives page associated with post_type: post and Title: "This is Geospatial" have been purged, triggered by action: save_post 
[2025-01-26 14:09:53 : INFO] - Cache for multiple term taxonomy have been purged due to post terms update, triggered by action: set_object_terms 
[2025-01-26 14:09:53 : INFO] - Cache for URL: http://192.168.68.109/?p=6694 has been purged, triggered by action: save_post 
[2025-01-26 14:09:53 : INFO] - Cache for blog post has been purged due to updates to post with Title: "This is Geospatial" and URL: http://192.168.68.109/?p=6694, triggered by action: save_post 
[2025-01-26 14:09:53 : INFO] - Cache for previous post (with URL: http://192.168.68.109/focus-on-improvement/) adjacent to post with id: 6694 has been purged, triggered by action: save_post 
[2025-01-26 14:09:53 : INFO] - Cache for all archives page associated with post_type: post and Title: "This is Geospatial" have been purged, triggered by action: save_post 
[2025-01-26 14:10:23 : INFO] - Cache for URL: http://192.168.68.109/?p=6696 has been purged, triggered by action: save_post 
[2025-01-26 14:10:23 : INFO] - Cache for blog post has been purged due to updates to post with Title: "Auto Draft" and URL: http://192.168.68.109/?p=6696, triggered by action: save_post 
[2025-01-26 14:10:23 : INFO] - Cache for previous post (with URL: http://192.168.68.109/focus-on-improvement/) adjacent to post with id: 6696 has been purged, triggered by action: save_post 
[2025-01-26 14:10:23 : INFO] - Cache for all archives page associated with post_type: post and Title: "Auto Draft" have been purged, triggered by action: save_post 
[2025-01-26 14:11:20 : INFO] - Cache for URL: http://192.168.68.109/?p=6694 has been purged, triggered by action: wp_trash_post 
[2025-01-26 14:11:20 : INFO] - Cache for multiple term taxonomy have been purged due to post terms update, triggered by action: set_object_terms 
[2025-01-26 14:11:20 : INFO] - Cache for URL: http://192.168.68.109/?p=6694 has been purged, triggered by action: save_post 
[2025-01-26 14:11:20 : INFO] - Cache for blog post has been purged due to updates to post with Title: "This is Geospatial" and URL: http://192.168.68.109/?p=6694, triggered by action: save_post 
[2025-01-26 14:11:20 : INFO] - Cache for previous post (with URL: http://192.168.68.109/focus-on-improvement/) adjacent to post with id: 6694 has been purged, triggered by action: save_post 
[2025-01-26 14:11:20 : INFO] - Cache for all archives page associated with post_type: post and Title: "This is Geospatial" have been purged, triggered by action: save_post 
[2025-01-26 14:11:20 : INFO] - Cache for URL: http://192.168.68.109/?p=6693 has been purged, triggered by action: wp_trash_post 
[2025-01-26 14:11:20 : INFO] - Cache for multiple term taxonomy have been purged due to post terms update, triggered by action: set_object_terms 
[2025-01-26 14:11:20 : INFO] - Cache for URL: http://192.168.68.109/?p=6693 has been purged, triggered by action: save_post 
[2025-01-26 14:11:20 : INFO] - Cache for blog post has been purged due to updates to post with Title: "" and URL: http://192.168.68.109/?p=6693, triggered by action: save_post 
[2025-01-26 14:11:20 : INFO] - Cache for previous post (with URL: http://192.168.68.109/focus-on-improvement/) adjacent to post with id: 6693 has been purged, triggered by action: save_post 
[2025-01-26 14:11:20 : INFO] - Cache for all archives page associated with post_type: post and Title: "" have been purged, triggered by action: save_post 
[2025-01-26 14:11:46 : INFO] - Cache for URL: http://192.168.68.109/insights/ has been purged, triggered by action: save_post 
[2025-01-26 14:11:47 : INFO] - Cache for URL: http://192.168.68.109/insights/ has been purged, triggered by action: save_post 
[2025-01-26 14:12:08 : INFO] - Cache for URL: http://192.168.68.109/?p=6698 has been purged, triggered by action: save_post 
[2025-01-26 14:12:08 : INFO] - Cache for blog post has been purged due to updates to post with Title: "Auto Draft" and URL: http://192.168.68.109/?p=6698, triggered by action: save_post 
[2025-01-26 14:12:08 : INFO] - Cache for previous post (with URL: http://192.168.68.109/focus-on-improvement/) adjacent to post with id: 6698 has been purged, triggered by action: save_post 
[2025-01-26 14:12:08 : INFO] - Cache for all archives page associated with post_type: post and Title: "Auto Draft" have been purged, triggered by action: save_post 
[2025-01-26 14:13:24 : INFO] - Cache for URL: http://192.168.68.109/?p=6699 has been purged, triggered by action: save_post 
[2025-01-26 14:13:24 : INFO] - Cache for blog post has been purged due to updates to post with Title: "Auto Draft" and URL: http://192.168.68.109/?p=6699, triggered by action: save_post 
[2025-01-26 14:13:24 : INFO] - Cache for previous post (with URL: http://192.168.68.109/focus-on-improvement/) adjacent to post with id: 6699 has been purged, triggered by action: save_post 
[2025-01-26 14:13:24 : INFO] - Cache for all archives page associated with post_type: post and Title: "Auto Draft" have been purged, triggered by action: save_post 
[2025-01-26 14:15:36 : INFO] - Cache for URL: http://192.168.68.109/?p=6700 has been purged, triggered by action: save_post 
[2025-01-26 14:15:36 : INFO] - Cache for blog post has been purged due to updates to post with Title: "Auto Draft" and URL: http://192.168.68.109/?p=6700, triggered by action: save_post 
[2025-01-26 14:15:36 : INFO] - Cache for previous post (with URL: http://192.168.68.109/focus-on-improvement/) adjacent to post with id: 6700 has been purged, triggered by action: save_post 
[2025-01-26 14:15:36 : INFO] - Cache for all archives page associated with post_type: post and Title: "Auto Draft" have been purged, triggered by action: save_post 
[2025-01-26 14:16:21 : INFO] - Cache for URL: http://192.168.68.109/?post_type=blog_post&p=6701 has been purged, triggered by action: save_post 
[2025-01-26 14:16:21 : INFO] - Cache for archive page associated with post_type: blog_post and Title: "Auto Draft" has been purged, triggered by action: save_post 
[2025-01-26 14:16:45 : INFO] - Cache for URL: http://192.168.68.109/?post_type=blog_post&p=6702 has been purged, triggered by action: save_post 
[2025-01-26 14:16:45 : INFO] - Cache for archive page associated with post_type: blog_post and Title: "Auto Draft" has been purged, triggered by action: save_post 
[2025-01-26 14:17:17 : INFO] - Cache for URL: http://192.168.68.109/?post_type=blog_post&p=6702 has been purged, triggered by action: save_post 
[2025-01-26 14:17:17 : INFO] - Cache for archive page associated with post_type: blog_post and Title: "fff" has been purged, triggered by action: save_post 
[2025-01-26 14:17:18 : INFO] - Cache for URL: http://192.168.68.109/?post_type=blog_post&p=6702 has been purged, triggered by action: save_post 
[2025-01-26 14:17:18 : INFO] - Cache for archive page associated with post_type: blog_post and Title: "fff" has been purged, triggered by action: save_post 
[2025-01-26 14:18:05 : INFO] - Cache for URL: http://192.168.68.109/?p=6704 has been purged, triggered by action: save_post 
[2025-01-26 14:18:05 : INFO] - Cache for blog post has been purged due to updates to post with Title: "Auto Draft" and URL: http://192.168.68.109/?p=6704, triggered by action: save_post 
[2025-01-26 14:18:05 : INFO] - Cache for previous post (with URL: http://192.168.68.109/focus-on-improvement/) adjacent to post with id: 6704 has been purged, triggered by action: save_post 
[2025-01-26 14:18:05 : INFO] - Cache for all archives page associated with post_type: post and Title: "Auto Draft" have been purged, triggered by action: save_post 
[2025-01-26 14:18:35 : INFO] - Cache for multiple term taxonomy have been purged due to post terms update, triggered by action: set_object_terms 
[2025-01-26 14:18:35 : INFO] - Cache for URL: http://192.168.68.109/?p=6704 has been purged, triggered by action: save_post 
[2025-01-26 14:18:35 : INFO] - Cache for blog post has been purged due to updates to post with Title: "SDGSDGSDGSDG" and URL: http://192.168.68.109/?p=6704, triggered by action: save_post 
[2025-01-26 14:18:35 : INFO] - Cache for previous post (with URL: http://192.168.68.109/focus-on-improvement/) adjacent to post with id: 6704 has been purged, triggered by action: save_post 
[2025-01-26 14:18:35 : INFO] - Cache for all archives page associated with post_type: post and Title: "SDGSDGSDGSDG" have been purged, triggered by action: save_post 
[2025-01-26 14:18:36 : INFO] - Cache for multiple term taxonomy have been purged due to post terms update, triggered by action: set_object_terms 
[2025-01-26 14:18:36 : INFO] - Cache for URL: http://192.168.68.109/?p=6704 has been purged, triggered by action: save_post 
[2025-01-26 14:18:36 : INFO] - Cache for blog post has been purged due to updates to post with Title: "SDGSDGSDGSDG" and URL: http://192.168.68.109/?p=6704, triggered by action: save_post 
[2025-01-26 14:18:36 : INFO] - Cache for previous post (with URL: http://192.168.68.109/focus-on-improvement/) adjacent to post with id: 6704 has been purged, triggered by action: save_post 
[2025-01-26 14:18:36 : INFO] - Cache for all archives page associated with post_type: post and Title: "SDGSDGSDGSDG" have been purged, triggered by action: save_post 
[2025-01-26 14:19:29 : INFO] - Cache for multiple term taxonomy have been purged due to post terms update, triggered by action: set_object_terms 
[2025-01-26 14:19:29 : INFO] - Cache for URL: http://192.168.68.109/?p=6704 has been purged, triggered by action: save_post 
[2025-01-26 14:19:29 : INFO] - Cache for blog post has been purged due to updates to post with Title: "SDGSDGSDGSDG" and URL: http://192.168.68.109/?p=6704, triggered by action: save_post 
[2025-01-26 14:19:29 : INFO] - Cache for previous post (with URL: http://192.168.68.109/focus-on-improvement/) adjacent to post with id: 6704 has been purged, triggered by action: save_post 
[2025-01-26 14:19:29 : INFO] - Cache for all archives page associated with post_type: post and Title: "SDGSDGSDGSDG" have been purged, triggered by action: save_post 
[2025-01-26 14:19:41 : INFO] - Cache for URL: http://192.168.68.109/?p=6706 has been purged, triggered by action: save_post 
[2025-01-26 14:19:41 : INFO] - Cache for blog post has been purged due to updates to post with Title: "Auto Draft" and URL: http://192.168.68.109/?p=6706, triggered by action: save_post 
[2025-01-26 14:19:41 : INFO] - Cache for previous post (with URL: http://192.168.68.109/focus-on-improvement/) adjacent to post with id: 6706 has been purged, triggered by action: save_post 
[2025-01-26 14:19:41 : INFO] - Cache for all archives page associated with post_type: post and Title: "Auto Draft" have been purged, triggered by action: save_post 
[2025-01-26 14:20:01 : INFO] - Cache for multiple term taxonomy have been purged due to post terms update, triggered by action: set_object_terms 
[2025-01-26 14:20:01 : INFO] - Cache for URL: http://192.168.68.109/?p=6706 has been purged, triggered by action: save_post 
[2025-01-26 14:20:01 : INFO] - Cache for blog post has been purged due to updates to post with Title: "efafafasfaaasfa" and URL: http://192.168.68.109/?p=6706, triggered by action: save_post 
[2025-01-26 14:20:01 : INFO] - Cache for previous post (with URL: http://192.168.68.109/focus-on-improvement/) adjacent to post with id: 6706 has been purged, triggered by action: save_post 
[2025-01-26 14:20:01 : INFO] - Cache for all archives page associated with post_type: post and Title: "efafafasfaaasfa" have been purged, triggered by action: save_post 
[2025-01-26 14:20:02 : INFO] - Cache for multiple term taxonomy have been purged due to post terms update, triggered by action: set_object_terms 
[2025-01-26 14:20:02 : INFO] - Cache for URL: http://192.168.68.109/?p=6706 has been purged, triggered by action: save_post 
[2025-01-26 14:20:02 : INFO] - Cache for blog post has been purged due to updates to post with Title: "efafafasfaaasfa" and URL: http://192.168.68.109/?p=6706, triggered by action: save_post 
[2025-01-26 14:20:02 : INFO] - Cache for previous post (with URL: http://192.168.68.109/focus-on-improvement/) adjacent to post with id: 6706 has been purged, triggered by action: save_post 
[2025-01-26 14:20:02 : INFO] - Cache for all archives page associated with post_type: post and Title: "efafafasfaaasfa" have been purged, triggered by action: save_post 
[2025-01-26 14:20:45 : INFO] - Cache for multiple term taxonomy have been purged due to post terms update, triggered by action: set_object_terms 
[2025-01-26 14:20:45 : INFO] - Cache for URL: http://192.168.68.109/?p=6706 has been purged, triggered by action: save_post 
[2025-01-26 14:20:45 : INFO] - Cache for blog post has been purged due to updates to post with Title: "efafafasfaaasfa" and URL: http://192.168.68.109/?p=6706, triggered by action: save_post 
[2025-01-26 14:20:45 : INFO] - Cache for previous post (with URL: http://192.168.68.109/focus-on-improvement/) adjacent to post with id: 6706 has been purged, triggered by action: save_post 
[2025-01-26 14:20:45 : INFO] - Cache for all archives page associated with post_type: post and Title: "efafafasfaaasfa" have been purged, triggered by action: save_post 
[2025-01-26 14:22:32 : INFO] - Cache for multiple term taxonomy have been purged due to post terms update, triggered by action: set_object_terms 
[2025-01-26 14:22:32 : INFO] - Cache for URL: http://192.168.68.109/?p=6706 has been purged, triggered by action: save_post 
[2025-01-26 14:22:32 : INFO] - Cache for blog post has been purged due to updates to post with Title: "efafafasfaaasfa" and URL: http://192.168.68.109/?p=6706, triggered by action: save_post 
[2025-01-26 14:22:32 : INFO] - Cache for previous post (with URL: http://192.168.68.109/focus-on-improvement/) adjacent to post with id: 6706 has been purged, triggered by action: save_post 
[2025-01-26 14:22:32 : INFO] - Cache for all archives page associated with post_type: post and Title: "efafafasfaaasfa" have been purged, triggered by action: save_post 
[2025-01-26 14:22:57 : INFO] - Cache for multiple term taxonomy have been purged due to post terms update, triggered by action: set_object_terms 
[2025-01-26 14:22:57 : INFO] - Cache for URL: http://192.168.68.109/efafafasfaaasfa/ has been purged, triggered by action: save_post 
[2025-01-26 14:22:57 : INFO] - Cache for blog post has been purged due to updates to post with Title: "efafafasfaaasfa" and URL: http://192.168.68.109/efafafasfaaasfa/, triggered by action: save_post 
[2025-01-26 14:22:57 : INFO] - Cache for previous post (with URL: http://192.168.68.109/focus-on-improvement/) adjacent to post with id: 6706 has been purged, triggered by action: save_post 
[2025-01-26 14:22:57 : INFO] - Cache for all archives page associated with post_type: post and Title: "efafafasfaaasfa" have been purged, triggered by action: save_post 
[2025-01-26 14:23:10 : INFO] - Cache for multiple term taxonomy have been purged due to post terms update, triggered by action: set_object_terms 
[2025-01-26 14:23:10 : INFO] - Cache for URL: http://192.168.68.109/sdgsdgsdgsdg/ has been purged, triggered by action: save_post 
[2025-01-26 14:23:10 : INFO] - Cache for blog post has been purged due to updates to post with Title: "SDGSDGSDGSDG" and URL: http://192.168.68.109/sdgsdgsdgsdg/, triggered by action: save_post 
[2025-01-26 14:23:10 : INFO] - Cache for previous post (with URL: http://192.168.68.109/efafafasfaaasfa/) adjacent to post with id: 6704 has been purged, triggered by action: save_post 
[2025-01-26 14:23:10 : INFO] - Cache for all archives page associated with post_type: post and Title: "SDGSDGSDGSDG" have been purged, triggered by action: save_post 
[2025-01-26 14:24:13 : INFO] - Cache for URL: http://192.168.68.109/insights/ has been purged, triggered by action: save_post 
[2025-01-26 14:24:13 : INFO] - Cache for URL: http://192.168.68.109/insights/ has been purged, triggered by action: save_post 
[2025-01-26 15:04:35 : INFO] - Cache for URL: http://192.168.68.109/insights/ has been purged, triggered by action: save_post 
[2025-01-26 15:07:22 : INFO] - Cache for URL: http://192.168.68.109/posts/ has been purged, triggered by action: save_post 
[2025-01-26 15:10:22 : INFO] - Cache for URL: http://192.168.68.109/?elementor_library=default-kit-2 has been purged, triggered by action: save_post 
[2025-01-26 15:10:23 : INFO] - Cache for URL: http://192.168.68.109/?elementor_library=default-kit-2 has been purged, triggered by action: save_post 
[2025-01-26 15:10:23 : INFO] - Cache for URL: http://192.168.68.109/?elementor_library=default-kit-2 has been purged, triggered by action: save_post 
[2025-01-26 15:13:36 : INFO] - Cache for URL: http://192.168.68.109/?elementor_library=default-kit-2 has been purged, triggered by action: save_post 
[2025-01-26 15:13:36 : INFO] - Cache for URL: http://192.168.68.109/?elementor_library=default-kit-2 has been purged, triggered by action: save_post 
[2025-01-26 15:13:36 : INFO] - Cache for URL: http://192.168.68.109/?elementor_library=default-kit-2 has been purged, triggered by action: save_post 
[2025-01-26 15:17:36 : INFO] - Cache for URL: http://192.168.68.109/?elementor_library=default-kit-2 has been purged, triggered by action: save_post 
[2025-01-26 15:17:36 : INFO] - Cache for URL: http://192.168.68.109/?elementor_library=default-kit-2 has been purged, triggered by action: save_post 
[2025-01-26 15:17:36 : INFO] - Cache for URL: http://192.168.68.109/?elementor_library=default-kit-2 has been purged, triggered by action: save_post 
[2025-01-26 15:19:13 : INFO] - Cache for URL: http://192.168.68.109/posts/ has been purged, triggered by action: save_post 
[2025-01-26 15:19:14 : INFO] - Cache for URL: http://192.168.68.109/posts/ has been purged, triggered by action: save_post 
[2025-01-26 15:25:09 : INFO] - Cache for URL: http://192.168.68.109/?elementor_library=default-kit-2 has been purged, triggered by action: save_post 
[2025-01-26 15:25:09 : INFO] - Cache for URL: http://192.168.68.109/?elementor_library=default-kit-2 has been purged, triggered by action: save_post 
[2025-01-26 15:25:09 : INFO] - Cache for URL: http://192.168.68.109/?elementor_library=default-kit-2 has been purged, triggered by action: save_post 
[2025-01-26 15:26:01 : INFO] - Cache for URL: http://192.168.68.109/?page_id=6714 has been purged, triggered by action: save_post 
[2025-01-26 15:29:39 : INFO] - Cache for URL: http://192.168.68.109/?page_id=6715 has been purged, triggered by action: save_post 
[2025-01-26 15:29:49 : INFO] - Cache for URL: http://192.168.68.109/?page_id=6715 has been purged, triggered by action: save_post 
[2025-01-26 15:29:49 : INFO] - Cache for URL: http://192.168.68.109/?page_id=6715 has been purged, triggered by action: save_post 
